,Unnamed: 0,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,0,2020,Mid-time,Full-time,Data Scientist,70000,EUR,79833,DE,0,DEU,L
1,1,2020,Senior,Full-time,Machine Learning Scientist,260000,USD,260000,JP,0,JPN,S
2,2,2020,Senior,Full-time,Big Data Engineer,85000,GBP,109024,GB,50,GBR,M
3,3,2020,Mid-time,Full-time,Product Data Analyst,20000,USD,20000,HN,0,HND,S
4,4,2020,Senior,Full-time,Machine Learning Engineer,150000,USD,150000,US,50,USA,L
5,5,2020,Entry,Full-time,Data Analyst,72000,USD,72000,US,100,USA,L
6,6,2020,Senior,Full-time,Lead Data Scientist,190000,USD,190000,US,100,USA,S
7,7,2020,Mid-time,Full-time,Data Scientist,11000000,HUF,35735,HU,50,HUN,L
8,8,2020,Mid-time,Full-time,Business Data Analyst,135000,USD,135000,US,100,USA,L
9,9,2020,Senior,Full-time,Lead Data Engineer,125000,USD,125000,NZ,50,NZL,S
10,10,2020,Entry,Full-time,Data Scientist,45000,EUR,51321,FR,0,FRA,S
11,11,2020,Mid-time,Full-time,Data Scientist,3000000,INR,40481,IN,0,IND,L
12,12,2020,Entry,Full-time,Data Scientist,35000,EUR,39916,FR,0,FRA,M
13,13,2020,Mid-time,Full-time,Lead Data Analyst,87000,USD,87000,US,100,USA,L
14,14,2020,Mid-time,Full-time,Data Analyst,85000,USD,85000,US,100,USA,L
15,15,2020,Mid-time,Full-time,Data Analyst,8000,USD,8000,PK,50,PAK,L
16,16,2020,Entry,Full-time,Data Engineer,4450000,JPY,41689,JP,100,JPN,S
17,17,2020,Senior,Full-time,Big Data Engineer,100000,EUR,114047,PL,100,GBR,S
18,18,2020,Entry,Full-time,Data Science Consultant,423000,INR,5707,IN,50,IND,M
19,19,2020,Mid-time,Full-time,Lead Data Engineer,56000,USD,56000,PT,100,USA,M
20,20,2020,Mid-time,Full-time,Machine Learning Engineer,299000,CNY,43331,CN,0,CHN,M
21,21,2020,Mid-time,Full-time,Product Data Analyst,450000,INR,6072,IN,100,IND,L
22,22,2020,Senior,Full-time,Data Engineer,42000,EUR,47899,GR,50,GRC,L
23,23,2020,Mid-time,Full-time,BI Data Analyst,98000,USD,98000,US,0,USA,M
24,24,2020,Mid-time,Full-time,Lead Data Scientist,115000,USD,115000,AE,0,ARE,L
25,25,2020,Executive,Full-time,Director of Data Science,325000,USD,325000,US,100,USA,L
26,26,2020,Entry,Full-time,Research Scientist,42000,USD,42000,NL,50,NLD,L
27,27,2020,Senior,Full-time,Data Engineer,720000,MXN,33511,MX,0,MEX,S
28,28,2020,Entry,Contract,Business Data Analyst,100000,USD,100000,US,100,USA,L
29,29,2020,Senior,Full-time,Machine Learning Manager,157000,CAD,117104,CA,50,CAN,L
30,30,2020,Mid-time,Full-time,Data Engineering Manager,51999,EUR,59303,DE,100,DEU,S
31,31,2020,Entry,Full-time,Big Data Engineer,70000,USD,70000,US,100,USA,L
32,32,2020,Senior,Full-time,Data Scientist,60000,EUR,68428,GR,100,USA,L
33,33,2020,Mid-time,Full-time,Research Scientist,450000,USD,450000,US,0,USA,M
34,34,2020,Mid-time,Full-time,Data Analyst,41000,EUR,46759,FR,50,FRA,L
35,35,2020,Mid-time,Full-time,Data Engineer,65000,EUR,74130,AT,50,AUT,L
36,36,2020,Mid-time,Full-time,Data Science Consultant,103000,USD,103000,US,100,USA,L
37,37,2020,Entry,Full-time,Machine Learning Engineer,250000,USD,250000,US,50,USA,L
38,38,2020,Entry,Full-time,Data Analyst,10000,USD,10000,NG,100,NGA,S
39,39,2020,Entry,Full-time,Machine Learning Engineer,138000,USD,138000,US,100,USA,S
40,40,2020,Mid-time,Full-time,Data Scientist,45760,USD,45760,PH,100,USA,S
41,41,2020,Executive,Full-time,Data Engineering Manager,70000,EUR,79833,ES,50,ESP,L
42,42,2020,Mid-time,Full-time,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,0,PRT,M
43,43,2020,Mid-time,Full-time,Data Engineer,106000,USD,106000,US,100,USA,L
